Age,Total 1970,Male 1970,Female 1970,Total 1971,Male 1971,Female 1971,Total 1972,Male 1972,Female 1972,Total 1973,Male 1973,Female 1973,Total 1974,Male 1974,Female 1974,Total 1975,Male 1975,Female 1975,Total 1976,Male 1976,Female 1976,Total 1977,Male 1977,Female 1977,Total 1978,Male 1978,Female 1978,Total 1979,Male 1979,Female 1979,Total 1980,Male 1980,Female 1980,Total 1981,Male 1981,Female 1981,Total 1982,Male 1982,Female 1982,Total 1983,Male 1983,Female 1983,Total 1984,Male 1984,Female 1984,Total 1985,Male 1985,Female 1985,Total 1986,Male 1986,Female 1986,Total 1987,Male 1987,Female 1987,Total 1988,Male 1988,Female 1988,Total 1989,Male 1989,Female 1989,Total 1990,Male 1990,Female 1990,Total 1991,Male 1991,Female 1991,Total 1992,Male 1992,Female 1992,Total 1993,Male 1993,Female 1993,Total 1994,Male 1994,Female 1994,Total 1995,Male 1995,Female 1995,Total 1996,Male 1996,Female 1996,Total 1997,Male 1997,Female 1997,Total 1998,Male 1998,Female 1998,Total 1999,Male 1999,Female 1999,Total 2000,Male 2000,Female 2000,Total 2001,Male 2001,Female 2001,Total 2002,Male 2002,Female 2002,Total 2003,Male 2003,Female 2003,Total 2004,Male 2004,Female 2004,Total 2005,Male 2005,Female 2005,Total 2006,Male 2006,Female 2006,Total 2007,Male 2007,Female 2007,Total 2008,Male 2008,Female 2008,Total 2009,Male 2009,Female 2009,Total 2010,Male 2010,Female 2010,Total 2011,Male 2011,Female 2011,Total 2012,Male 2012,Female 2012,Total 2013,Male 2013,Female 2013,Total 2014,Male 2014,Female 2014,Total 2015,Male 2015,Female 2015,Total 2016,Male 2016,Female 2016,Total 2017,Male 2017,Female 2017,Total 2018,Male 2018,Female 2018,Total 2019,Male 2019,Female 2019,Total 2020,Male 2020,Female 2020,Total 2021,Male 2021,Female 2021,Total 2022,Male 2022,Female 2022,Total 2023,Male 2023,Female 2023,Total 2024,Male 2024,Female 2024,Total 2025,Male 2025,Female 2025,Total 2026,Male 2026,Female 2026,Total 2027,Male 2027,Female 2027,Total 2028,Male 2028,Female 2028,Total 2029,Male 2029,Female 2029,Total 2030,Male 2030,Female 2030,Total 2031,Male 2031,Female 2031,Total 2032,Male 2032,Female 2032,Total 2033,Male 2033,Female 2033,Total 2034,Male 2034,Female 2034,Total 2035,Male 2035,Female 2035,Total 2036,Male 2036,Female 2036,Total 2037,Male 2037,Female 2037,Total 2038,Male 2038,Female 2038,Total 2039,Male 2039,Female 2039,Total 2040,Male 2040,Female 2040,Total 2041,Male 2041,Female 2041,Total 2042,Male 2042,Female 2042,Total 2043,Male 2043,Female 2043,Total 2044,Male 2044,Female 2044,Total 2045,Male 2045,Female 2045,Total 2046,Male 2046,Female 2046,Total 2047,Male 2047,Female 2047,Total 2048,Male 2048,Female 2048,Total 2049,Male 2049,Female 2049,Total 2050,Male 2050,Female 2050
65,"23,966","11,364","12,602","24,373","11,685","12,689","24,727","11,838","12,889","26,058","12,338","13,720","26,862","12,798","14,063","28,959","13,979","14,980","28,415","13,686","14,729","29,724","14,244","15,480","30,426","14,459","15,968","31,702","15,126","16,576","33,319","15,656","17,663","33,229","15,968","17,261","33,330","15,828","17,502","34,570","16,579","17,991","35,449","16,811","18,638","36,137","17,082","19,055","37,869","17,876","19,993","38,896","18,213","20,683","37,340","17,283","20,057","37,376","17,402","19,974","38,462","17,872","20,590","38,633","18,033","20,600","38,469","18,039","20,430","38,355","18,067","20,288","38,291","18,119","20,172","38,237","18,176","20,061","38,054","18,171","19,883","37,940","18,199","19,741","37,897","18,261","19,636","37,855","18,323","19,532","37,782","18,371","19,411","39,998","19,437","20,561","42,301","20,545","21,756","44,446","21,577","22,869","46,693","22,658","24,035","49,005","23,771","25,234","51,572","25,007","26,565","54,020","26,186","27,834","56,294","27,280","29,014","58,400","28,293","30,107","60,391","29,250","31,141","62,996","30,463","32,533","65,580","31,664","33,916","68,322","32,942","35,380","71,297","34,331","36,966","74,288","35,728","38,560","77,582","37,269","40,313","80,669","38,711","41,958","83,895","40,221","43,674","87,112","41,727","45,385","90,420","43,276","47,144","92,017","44,078","47,939","93,460","44,799","48,661","94,438","45,316","49,122","94,933","45,615","49,318","94,939","45,705","49,234","94,451","45,575","48,876","94,052","45,458","48,594","93,776","45,368","48,408","93,564","45,278","48,286","93,440","45,203","48,237","86,821","41,937","44,884","85,216","41,438","43,778","85,997","41,843","44,154","89,763","43,890","45,873","98,029","48,305","49,724","94,473","46,547","47,926","89,553","43,812","45,741","85,997","41,749","44,248","86,039","41,989","44,050","93,473","46,089","47,384","94,027","46,139","47,888","95,151","46,731","48,420","97,057","47,716","49,341","99,743","49,098","50,645","103,347","50,954","52,393","107,663","53,206","54,457","111,531","55,250","56,281","114,765","56,964","57,801","117,378","58,358","59,020","119,431","59,433","59,998"
66,"22,668","10,730","11,938","23,422","11,009","12,414","23,874","11,339","12,535","24,145","11,460","12,685","25,625","12,022","13,603","26,451","12,602","13,849","28,469","13,623","14,846","27,999","13,375","14,624","29,417","13,975","15,442","30,196","14,228","15,968","31,583","14,790","16,793","32,947","15,400","17,547","32,679","15,620","17,059","32,933","15,553","17,380","34,007","16,222","17,785","34,929","16,477","18,452","35,559","16,720","18,839","37,351","17,542","19,809","38,447","17,911","20,536","37,000","17,043","19,957","37,443","17,380","20,063","37,416","17,423","19,993","37,062","17,314","19,748","36,758","17,228","19,530","36,502","17,165","19,337","36,255","17,106","19,149","35,887","16,989","18,898","35,585","16,904","18,681","35,349","16,850","18,499","35,114","16,796","18,318","34,850","16,729","18,121","37,228","17,892","19,336","39,686","19,094","20,592","41,996","20,224","21,772","44,401","21,400","23,001","46,870","22,607","24,263","49,583","23,932","25,651","52,185","25,203","26,982","54,618","26,393","28,225","56,888","27,504","29,384","59,045","28,560","30,485","61,537","29,705","31,832","64,020","30,851","33,169","66,649","32,063","34,586","69,498","33,382","36,116","72,370","34,711","37,659","75,526","36,178","39,348","78,494","37,550","40,944","81,592","38,989","42,603","84,688","40,425","44,263","87,863","41,898","45,965","89,524","42,704","46,820","91,299","43,576","47,723","92,721","44,294","48,427","93,729","44,831","48,898","94,178","45,095","49,083","94,184","45,188","48,996","93,704","45,066","48,638","93,312","44,956","48,356","93,050","44,876","48,174","92,868","44,805","48,063","92,765","44,744","48,021","86,211","41,523","44,688","84,634","41,041","43,593","85,425","41,452","43,973","89,181","43,491","45,690","97,411","47,879","49,532","93,896","46,149","47,747","89,024","43,448","45,576","85,506","41,413","44,093","85,561","41,660","43,901","92,969","45,740","47,229","93,536","45,799","47,737","94,670","46,398","48,272","96,581","47,386","49,195","99,270","48,769","50,501","102,872","50,623","52,249","107,184","52,871","54,313","111,052","54,914","56,138","114,287","56,628","57,659","116,905","58,025","58,880"
67,"21,430","10,164","11,266","22,106","10,365","11,741","22,898","10,656","12,242","23,261","10,944","12,317","23,686","11,130","12,555","25,175","11,799","13,376","25,946","12,242","13,703","27,994","13,274","14,719","27,649","13,082","14,567","29,127","13,710","15,416","30,023","13,964","16,059","31,197","14,522","16,675","32,363","15,035","17,328","32,240","15,317","16,923","32,356","15,188","17,168","33,466","15,870","17,596","34,327","16,098","18,229","35,030","16,378","18,652","36,880","17,222","19,658","38,058","17,633","20,425","36,863","16,867","19,996","36,871","16,943","19,928","36,560","16,872","19,688","36,295","16,823","19,472","36,079","16,796","19,283","35,871","16,773","19,098","35,543","16,693","18,850","35,282","16,645","18,637","35,084","16,626","18,458","34,889","16,609","18,280","34,665","16,578","18,087","36,865","17,669","19,196","39,145","18,798","20,347","41,280","19,857","21,423","43,507","20,961","22,546","45,797","22,095","23,702","48,326","23,344","24,982","50,744","24,540","26,204","52,999","25,658","27,341","55,096","26,698","28,398","57,084","27,686","29,398","59,521","28,785","30,736","61,942","29,879","32,063","64,509","31,043","33,466","67,288","32,313","34,975","70,087","33,586","36,501","73,161","34,993","38,168","76,051","36,313","39,738","79,079","37,696","41,383","82,096","39,077","43,019","85,190","40,492","44,698","86,923","41,317","45,606","88,742","42,191","46,551","90,499","43,058","47,441","91,947","43,792","48,155","92,907","44,292","48,615","93,354","44,558","48,796","93,365","44,656","48,709","92,895","44,542","48,353","92,518","44,443","48,075","92,290","44,383","47,907","92,129","44,326","47,803","92,046","44,278","47,768","85,561","41,102","44,459","84,012","40,637","43,375","84,814","41,055","43,759","88,562","43,087","45,475","96,751","47,446","49,305","93,277","45,743","47,534","88,456","43,077","45,379","84,978","41,070","43,908","85,048","41,326","43,722","92,425","45,384","47,041","93,007","45,453","47,554","94,148","46,057","48,091","96,065","47,049","49,016","98,756","48,433","50,323","102,356","50,285","52,071","106,661","52,528","54,133","110,526","54,569","55,957","113,764","56,284","57,480"
68,"19,487","8,926","10,561","20,853","9,790","11,063","21,568","10,007","11,561","22,266","10,256","12,010","22,769","10,598","12,171","23,215","10,891","12,324","24,643","11,430","13,213","25,459","11,895","13,564","27,581","12,945","14,635","27,317","12,797","14,520","29,199","13,525","15,674","29,599","13,677","15,922","30,588","14,144","16,444","31,867","14,704","17,163","31,614","14,922","16,692","31,784","14,823","16,961","32,828","15,468","17,360","33,757","15,732","18,025","34,525","16,041","18,484","36,442","16,916","19,526","37,299","17,162","20,137","37,227","17,171","20,056","36,831","17,030","19,801","36,484","16,912","19,572","36,185","16,816","19,369","35,896","16,725","19,171","35,485","16,577","18,908","35,141","16,460","18,681","34,862","16,373","18,489","34,584","16,287","18,297","34,277","16,187","18,090","35,727","16,943","18,784","37,255","17,737","19,518","38,646","18,465","20,181","40,125","19,234","20,891","41,661","20,032","21,629","43,409","20,931","22,478","45,055","21,782","23,273","46,554","22,562","23,992","47,915","23,275","24,640","49,184","23,943","25,241","52,184","25,298","26,886","55,157","26,645","28,512","58,249","28,045","30,204","61,531","29,541","31,990","64,832","31,042","33,790","68,384","32,662","35,722","71,775","34,207","37,568","75,298","35,816","39,482","78,823","37,426","41,397","82,414","39,064","43,350","84,204","39,880","44,324","86,064","40,759","45,305","87,872","41,632","46,240","89,655","42,516","47,139","91,050","43,209","47,841","92,005","43,708","48,297","92,455","43,978","48,477","92,473","44,082","48,391","92,023","43,981","48,042","91,679","43,902","47,777","91,474","43,857","47,617","91,334","43,814","47,520","91,273","43,780","47,493","84,861","40,652","44,209","83,341","40,204","43,137","84,154","40,629","43,525","87,891","42,653","45,238","96,037","46,982","49,055","92,606","45,307","47,299","87,839","42,679","45,160","84,404","40,701","43,703","84,488","40,965","43,523","91,831","44,999","46,832","92,426","45,078","47,348","93,576","45,688","47,888","95,499","46,684","48,815","98,190","48,068","50,122","101,786","49,917","51,869","106,083","52,155","53,928","109,945","54,193","55,752"
69,"19,608","8,953","10,655","18,925","8,572","10,353","20,302","9,424","10,878","20,925","9,601","11,324","21,746","9,899","11,847","22,265","10,338","11,927","22,673","10,519","12,154","24,131","11,074","13,057","25,028","11,564","13,464","27,187","12,624","14,562","27,200","12,360","14,840","28,688","13,183","15,505","28,944","13,272","15,672","30,042","13,785","16,257","31,171","14,273","16,898","30,963","14,505","16,458","31,099","14,396","16,703","32,191","15,058","17,133","33,164","15,339","17,825","33,999","15,679","18,320","35,976","16,597","19,379","36,066","16,683","19,383","35,844","16,625","19,219","35,669","16,589","19,080","35,540","16,574","18,966","35,420","16,563","18,857","35,181","16,496","18,685","35,007","16,460","18,547","34,897","16,454","18,443","34,790","16,449","18,341","34,651","16,429","18,222","35,623","16,930","18,693","36,672","17,467","19,205","37,587","17,940","19,647","38,588","18,454","20,134","39,644","18,995","20,649","40,899","19,631","21,268","42,054","20,220","21,834","43,069","20,741","22,328","43,959","21,202","22,757","44,768","21,624","23,144","47,948","23,083","24,865","51,104","24,526","26,578","54,361","26,023","28,338","57,797","27,605","30,192","61,254","29,193","32,061","64,952","30,898","34,054","68,490","32,526","35,964","72,155","34,215","37,940","75,825","35,907","39,918","79,566","37,630","41,936","81,415","38,463","42,952","83,306","39,323","43,983","85,159","40,202","44,957","86,992","41,090","45,902","88,721","41,933","46,788","90,108","42,623","47,485","91,063","43,123","47,940","91,518","43,398","48,120","91,551","43,512","48,039","91,134","43,430","47,704","90,816","43,367","47,449","90,633","43,336","47,297","90,515","43,307","47,208","90,473","43,285","47,188","84,138","40,206","43,932","82,647","39,774","42,873","83,471","40,206","43,265","87,193","42,220","44,973","95,295","46,519","48,776","91,910","44,874","47,036","87,198","42,283","44,915","83,805","40,333","43,472","83,902","40,604","43,298","91,209","44,613","46,596","91,818","44,703","47,115","92,975","45,317","47,658","94,904","46,318","48,586","97,593","47,700","49,893","101,185","49,547","51,638","105,474","51,780","53,694"
70,"19,543","8,719","10,824","19,005","8,582","10,423","18,404","8,248","10,156","19,678","9,051","10,628","20,395","9,262","11,133","21,220","9,676","11,544","21,716","10,002","11,714","22,186","10,207","11,979","23,700","10,759","12,941","24,640","11,245","13,395","25,269","11,365","13,904","26,608","11,976","14,632","27,964","12,739","15,225","28,337","12,881","15,456","29,289","13,321","15,968","30,426","13,808","16,618","30,198","14,028","16,170","30,389","13,947","16,442","31,494","14,602","16,892","32,516","14,906","17,610","32,954","15,004","17,950","33,277","15,188","18,089","33,313","15,241","18,072","33,390","15,312","18,078","33,511","15,404","18,107","33,641","15,500","18,141","33,657","15,543","18,114","33,734","15,614","18,120","33,873","15,714","18,159","34,014","15,815","18,199","34,126","15,902","18,224","34,870","16,317","18,553","35,690","16,767","18,923","36,380","17,156","19,224","37,155","17,585","19,570","37,981","18,038","19,943","38,997","18,582","20,415","39,916","19,080","20,836","40,702","19,515","21,187","41,370","19,893","21,477","41,963","20,235","21,728","45,155","21,695","23,460","48,319","23,148","25,171","51,569","24,639","26,930","55,007","26,221","28,786","58,452","27,801","30,651","62,123","29,492","32,631","65,652","31,116","34,536","69,307","32,798","36,509","72,957","34,476","38,481","76,679","36,193","40,486","78,449","36,973","41,476","80,357","37,829","42,528","82,252","38,695","43,557","84,135","39,591","44,544","85,910","40,435","45,475","87,628","41,274","46,354","89,011","41,963","47,048","89,968","42,465","47,503","90,436","42,749","47,687","90,500","42,881","47,619","90,110","42,815","47,295","89,819","42,768","47,051","89,661","42,752","46,909","89,565","42,737","46,828","89,546","42,730","46,816","83,298","39,704","43,594","81,839","39,290","42,549","82,675","39,729","42,946","86,380","41,732","44,648","94,427","45,995","48,432","91,093","44,382","46,711","86,443","41,831","44,612","83,097","39,913","43,184","83,209","40,191","43,018","90,473","44,172","46,301","91,096","44,273","46,823","92,261","44,892","47,369","94,194","45,895","48,299","96,880","47,276","49,604","100,463","49,118","51,345"
71,"17,312","7,526","9,786","18,898","8,329","10,569","18,428","8,217","10,211","17,788","7,874","9,914","19,103","8,666","10,437","19,845","9,000","10,845","20,645","9,283","11,362","21,181","9,628","11,554","21,703","9,840","11,863","23,250","10,403","12,847","24,161","10,802","13,359","24,592","10,933","13,659","25,845","11,514","14,331","27,282","12,304","14,978","27,525","12,385","15,140","28,471","12,814","15,657","29,573","13,287","16,286","29,385","13,514","15,871","29,592","13,436","16,156","30,716","14,088","16,628","31,821","14,347","17,474","32,097","14,500","17,597","32,096","14,527","17,569","32,134","14,572","17,562","32,216","14,637","17,579","32,305","14,705","17,600","32,285","14,724","17,561","32,324","14,769","17,555","32,422","14,841","17,581","32,522","14,914","17,608","32,595","14,975","17,620","33,246","15,353","17,893","33,969","15,764","18,205","34,567","16,117","18,450","35,247","16,508","18,739","35,976","16,922","19,054","36,885","17,421","19,464","37,701","17,877","19,824","38,392","18,274","20,118","38,970","18,617","20,353","39,480","18,927","20,553","42,561","20,346","22,215","45,622","21,756","23,866","48,763","23,205","25,558","52,068","24,727","27,341","55,388","26,257","29,131","58,925","27,890","31,035","62,328","29,460","32,868","65,847","31,084","34,763","69,363","32,710","36,653","72,949","34,366","38,583","75,455","35,473","39,982","77,249","36,257","40,992","79,170","37,124","42,046","81,096","38,009","43,087","82,918","38,858","44,060","84,681","39,697","44,984","86,391","40,533","45,858","87,772","41,222","46,550","88,738","41,730","47,008","89,233","42,030","47,203","89,320","42,176","47,144","88,960","42,127","46,833","88,697","42,097","46,600","88,564","42,096","46,468","88,495","42,098","46,397","88,499","42,106","46,393","82,347","39,138","43,209","80,924","38,744","42,180","81,771","39,190","42,581","85,456","41,179","44,277","93,437","45,400","48,037","90,161","43,822","46,339","85,579","41,316","44,263","82,287","39,434","42,853","82,415","39,720","42,695","89,629","43,668","45,961","90,266","43,780","46,486","91,439","44,404","47,035","93,374","45,409","47,965","96,056","46,787","49,269"
72,"16,420","7,119","9,301","16,696","7,162","9,534","18,265","7,942","10,323","17,761","7,815","9,945","17,224","7,509","9,715","18,535","8,389","10,146","19,255","8,604","10,652","20,089","8,904","11,185","20,663","9,246","11,416","21,233","9,480","11,753","22,448","9,960","12,488","23,407","10,328","13,079","23,803","10,460","13,343","25,116","11,060","14,056","26,405","11,771","14,634","26,654","11,851","14,803","27,576","12,272","15,304","28,676","12,735","15,941","28,490","12,944","15,546","28,736","12,887","15,849","29,845","13,429","16,416","30,255","13,624","16,631","30,405","13,702","16,703","30,593","13,797","16,796","30,820","13,910","16,910","31,055","14,026","17,029","31,186","14,095","17,091","31,371","14,189","17,182","31,615","14,309","17,306","31,861","14,430","17,431","32,080","14,539","17,541","32,612","14,867","17,745","33,214","15,227","17,987","33,696","15,532","18,164","34,256","15,873","18,383","34,865","16,236","18,629","35,647","16,681","18,966","36,338","17,084","19,254","36,908","17,430","19,478","37,371","17,725","19,646","37,767","17,988","19,779","40,597","19,295","21,302","43,392","20,586","22,806","46,284","21,922","24,362","49,325","23,328","25,997","52,378","24,744","27,634","55,642","26,253","29,389","58,767","27,698","31,069","62,005","29,196","32,809","65,246","30,697","34,549","68,551","32,229","36,322","71,678","33,633","38,045","74,170","34,722","39,448","75,985","35,521","40,464","77,937","36,407","41,530","79,800","37,245","42,555","81,610","38,089","43,521","83,365","38,925","44,440","85,066","39,758","45,308","86,449","40,449","46,000","87,435","40,968","46,467","87,950","41,281","46,669","88,063","41,441","46,622","87,733","41,409","46,324","87,499","41,396","46,103","87,394","41,412","45,982","87,350","41,429","45,921","87,378","41,452","45,926","81,328","38,545","42,783","79,942","38,170","41,772","80,800","38,623","42,177","84,464","40,598","43,866","92,374","44,775","47,599","89,158","43,232","45,926","84,650","40,774","43,876","81,413","38,928","42,485","81,558","39,223","42,335","88,716","43,134","45,582","89,368","43,258","46,110","90,550","43,888","46,662","92,487","44,894","47,593"
73,"15,769","6,852","8,917","15,780","6,745","9,035","16,084","6,800","9,284","17,545","7,519","10,026","17,140","7,422","9,718","16,659","7,241","9,418","17,925","7,987","9,938","18,680","8,221","10,459","19,541","8,517","11,024","20,154","8,874","11,280","20,596","8,949","11,647","21,669","9,476","12,193","22,583","9,838","12,745","23,047","9,998","13,049","24,235","10,535","13,700","25,486","11,212","14,274","25,736","11,301","14,435","26,654","11,711","14,943","27,715","12,140","15,575","27,566","12,354","15,212","27,986","12,427","15,559","28,495","12,637","15,858","28,758","12,738","16,020","29,057","12,855","16,202","29,394","12,989","16,405","29,738","13,126","16,612","29,981","13,218","16,763","30,278","13,334","16,944","30,629","13,474","17,155","30,984","13,616","17,368","31,312","13,746","17,566","31,616","13,983","17,633","31,988","14,251","17,737","32,245","14,467","17,778","32,577","14,717","17,860","32,955","14,987","17,968","33,495","15,332","18,163","33,948","15,638","18,310","34,287","15,892","18,395","34,528","16,100","18,428","34,708","16,279","18,429","37,372","17,529","19,843","40,015","18,772","21,243","42,733","20,050","22,683","45,591","21,390","24,201","48,459","22,735","25,724","51,532","24,172","27,360","54,471","25,552","28,919","57,519","26,985","30,534","60,561","28,410","32,151","63,664","29,867","33,797","67,134","31,427","35,707","70,202","32,788","37,414","72,708","33,889","38,819","74,559","34,710","39,849","76,441","35,544","40,897","78,290","36,377","41,913","80,088","37,216","42,872","81,834","38,049","43,785","83,531","38,881","44,650","84,925","39,578","45,347","85,926","40,106","45,820","86,463","40,432","46,031","86,605","40,608","45,997","86,309","40,595","45,714","86,108","40,601","45,507","86,032","40,634","45,398","86,017","40,668","45,349","86,073","40,708","45,365","80,140","37,869","42,271","78,798","37,517","41,281","79,668","37,977","41,691","83,305","39,935","43,370","91,131","44,060","47,071","87,983","42,557","45,426","83,560","40,152","43,408","80,389","38,349","42,040","80,553","38,653","41,900","87,644","42,521","45,123","88,312","42,658","45,654","89,504","43,294","46,210"
74,"15,420","6,361","9,059","15,088","6,457","8,631","15,129","6,367","8,762","15,389","6,405","8,984","16,866","7,104","9,763","16,510","7,121","9,389","16,053","6,859","9,195","17,322","7,594","9,728","18,100","7,825","10,275","18,993","8,136","10,857","19,549","8,399","11,150","19,834","8,485","11,349","20,848","8,991","11,857","21,792","9,361","12,431","22,177","9,486","12,691","23,331","9,998","13,333","24,541","10,651","13,890","24,812","10,746","14,066","25,698","11,127","14,571","26,765","11,554","15,211","26,647","11,760","14,887","27,234","12,005","15,229","27,587","12,147","15,440","27,972","12,303","15,669","28,394","12,475","15,919","28,824","12,651","16,173","29,156","12,784","16,372","29,539","12,939","16,600","29,976","13,118","16,858","30,415","13,298","17,117","30,829","13,466","17,363","30,993","13,637","17,356","31,226","13,838","17,388","31,346","13,989","17,357","31,539","14,172","17,367","31,776","14,375","17,401","32,168","14,649","17,519","32,476","14,885","17,591","32,675","15,072","17,603","32,779","15,215","17,564","32,829","15,332","17,497","35,176","16,437","18,739","37,500","17,532","19,968","39,899","18,657","21,242","42,433","19,846","22,587","44,975","21,042","23,933","47,697","22,317","25,380","50,302","23,542","26,760","53,003","24,807","28,196","55,701","26,073","29,628","58,457","27,370","31,087","62,221","29,045","33,176","65,604","30,548","35,056","68,674","31,914","36,760","71,201","33,028","38,173","72,981","33,797","39,184","74,846","34,624","40,222","76,683","35,453","41,230","78,469","36,287","42,182","80,209","37,118","43,091","81,910","37,952","43,958","83,310","38,654","44,656","84,325","39,190","45,135","84,884","39,529","45,355","85,055","39,721","45,334","84,794","39,727","45,067","84,627","39,752","44,875","84,582","39,804","44,778","84,598","39,856","44,742","84,682","39,913","44,769","78,873","37,147","41,726","77,577","36,818","40,759","78,458","37,284","41,174","82,065","39,224","42,841","89,802","43,293","46,509","86,726","41,833","44,893","82,393","39,485","42,908","79,291","37,726","41,565","79,474","38,039","41,435","86,494","41,862","44,632","87,178","42,012","45,166"
75,"14,429","6,005","8,424","14,761","5,998","8,762","14,510","6,127","8,384","14,558","6,047","8,510","14,886","6,109","8,777","16,296","6,891","9,405","15,946","6,819","9,127","15,538","6,586","8,952","16,769","7,282","9,487","17,539","7,504","10,035","18,217","7,487","10,730","18,788","7,944","10,844","19,033","8,021","11,012","20,052","8,519","11,533","20,913","8,849","12,064","21,298","8,972","12,326","22,410","9,463","12,947","23,605","10,097","13,508","23,874","10,185","13,689","24,774","10,569","14,205","25,715","11,190","14,525","26,404","11,473","14,931","26,866","11,657","15,209","27,360","11,855","15,505","27,889","12,068","15,821","28,425","12,284","16,141","28,865","12,459","16,406","29,355","12,655","16,700","29,899","12,875","17,024","30,446","13,096","17,350","30,966","13,305","17,661","30,993","13,412","17,581","31,087","13,548","17,539","31,069","13,635","17,434","31,126","13,755","17,371","31,225","13,893","17,332","31,476","14,099","17,377","31,643","14,269","17,374","31,703","14,391","17,312","31,673","14,472","17,201","31,589","14,527","17,062","33,543","15,464","18,079","35,481","16,397","19,084","37,488","17,358","20,130","39,619","18,374","21,245","41,764","19,396","22,368","44,072","20,496","23,576","46,279","21,547","24,732","48,567","22,638","25,929","50,848","23,727","27,121","53,183","24,841","28,342","57,139","26,611","30,528","60,803","28,222","32,581","64,179","29,725","34,454","67,255","31,096","36,159","69,698","32,150","37,548","71,464","32,914","38,550","73,314","33,736","39,578","75,137","34,559","40,578","76,916","35,390","41,526","78,658","36,223","42,435","80,357","37,057","43,300","81,764","37,763","44,001","82,791","38,306","44,485","83,369","38,656","44,713","83,568","38,864","44,704","83,341","38,889","44,452","83,205","38,931","44,274","83,190","39,000","44,190","83,233","39,069","44,164","83,345","39,143","44,202","77,653","36,446","41,207","76,401","36,139","40,262","77,293","36,612","40,681","80,872","38,534","42,338","88,521","42,548","45,973","85,514","41,129","44,385","81,266","38,835","42,431","78,232","37,120","41,112","78,432","37,441","40,991","85,382","41,219","44,163"
76,"13,410","5,606","7,804","13,739","5,628","8,111","14,048","5,614","8,434","13,772","5,718","8,053","13,862","5,651","8,210","14,156","5,801","8,355","15,541","6,449","9,092","15,259","6,407","8,851","14,891","6,185","8,706","16,117","6,858","9,260","16,656","6,853","9,803","17,473","7,061","10,412","17,977","7,480","10,497","18,247","7,565","10,682","19,187","8,022","11,165","20,029","8,340","11,689","20,400","8,460","11,940","21,504","8,941","12,563","22,659","9,542","13,117","22,971","9,652","13,319","23,844","10,106","13,738","24,566","10,422","14,144","25,078","10,649","14,429","25,620","10,889","14,731","26,195","11,143","15,052","26,776","11,399","15,377","27,267","11,617","15,650","27,803","11,854","15,949","28,392","12,114","16,278","28,982","12,374","16,608","29,549","12,624","16,925","29,437","12,670","16,767","29,389","12,744","16,645","29,235","12,771","16,464","29,151","12,829","16,322","29,108","12,905","16,203","29,204","13,043","16,161","29,222","13,147","16,075","29,140","13,207","15,933","28,976","13,229","15,747","28,764","13,229","15,535","30,529","14,067","16,462","32,286","14,904","17,382","34,106","15,765","18,341","36,045","16,683","19,362","37,989","17,599","20,390","40,079","18,589","21,490","42,077","19,534","22,543","44,147","20,511","23,636","46,222","21,494","24,728","48,336","22,492","25,844","51,874","24,090","27,784","55,705","25,782","29,923","59,352","27,388","31,964","62,722","28,889","33,833","65,696","30,190","35,506","68,108","31,229","36,879","69,860","31,989","37,871","71,695","32,805","38,890","73,508","33,624","39,884","75,285","34,455","40,830","77,023","35,286","41,737","78,721","36,120","42,601","80,131","36,828","43,303","81,170","37,378","43,792","81,768","37,740","44,028","81,995","37,963","44,032","81,803","38,007","43,796","81,700","38,068","43,632","81,715","38,154","43,561","81,788","38,241","43,547","81,927","38,331","43,596","76,359","35,707","40,652","75,152","35,423","39,729","76,055","35,903","40,152","79,601","37,804","41,797","87,156","41,759","45,397","84,223","40,384","43,839","80,066","38,147","41,919","77,103","36,478","40,625","77,321","36,807","40,514"
